Argentina,0
Australia,4713799900
Austria,3647000000
Bahamas,0
Bahrain,65600000
Bangladesh,0
Barbados,0
Belgium,69798894200
Bermuda,44958072000
Brazil,143000000
British Virgin Islands,542139970
Bulgaria,0
Cambodia,0
Cameroon,0
Canada,23213730000
Cayman Islands,10792190800
Chile,0
China,478000000
Congo,0
Cura̤ao,0
Cyprus,80240000
Czech Republic,0
Denmark,4150240000
Dominican Republic,0
Egypt,0
El Salvador,0
Estonia,265800000
Finland,860750000
France,6059940000
Germany,8379810000
Gibraltar,11429992000
Greece,298000000
Guinea,0
Hong Kong,1164949500
Hungary,10326330000
Iceland,800000000
India,603000000
Indonesia,62719940
Ireland,36267929500
Israel,460720000
Italy,51806474000
Ivory Coast,0
Japan,561830800
Kenya,0
Kuwait,88600000
Latvia,16400000
Liberia,0
Luxembourg,407660000
Malaysia,176800000
Malta,2600000000
Marshall Islands,44300000
Mexico,29858200
Monaco,106000000
Mongolia,0
Morocco,88600000
Netherlands,12695490000
New Zealand,0
Nigeria,0
Norway,1970000000
Panama,100000000
Philippines,250560800
Poland,3953800000
Portugal,143000000
Romania,320000000
Russia,3614000030
Saudi Arabia,0
Singapore,318260000
Slovakia,0
South Africa,4750000
South Korea,1120830800
Spain,182192380
Sweden,10803750000
Switzerland,84349470000
Taiwan,176500000
Turkey,646760000
Ukraine,0
United Arab Emirates,286522380
United Kingdom,29863217800
United Kingdom (Guernsey),1615167600
United Kingdom (Jersey),5881620000
United States,146284116640
Vietnam,17720000
